env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
115,0.493269,80,2.11707,0.0128471,1,90.5185,59.3315,59.3798,-0.0714401,0.000685709
116,0.5,85,1.18982,0.0663769,1,61.7155,73.6745,48.9862,-0.35076,0.000685709
117,0.475143,83,0.01,0.0838093,1,78.8844,48.9506,39.5751,-0.420584,0.000685709
118,0.499585,76,1.7427,0.000111748,0,97.644,8.14648,97.3297,-0.599937,0.000685709
119,0.330724,21,62.4913,0.0965364,1,90.0206,96.8168,32.9422,-0.564595,0.000685709
120,0.5,99,0.01,0.0001,0,100,0.001,100,-0.0380502,0.000685709
121,0.409496,87,0.111039,0.000188196,1,87.3486,8.93629,52.303,-0.050219,0.000685709
122,0.477807,68,1.94028,0.0001,0,100,48.2191,73.8775,-0.541044,0.000685709
123,0.408409,99,0.01,0.0001,0,100,0.001,0.01,-0.108807,0.000685709
124,0.5,99,0.01,0.0001,1,0.01,0.001,80.2329,-0.207868,0.000685709
125,0.486682,83,73.4399,0.179003,1,52.1477,74.7263,74.1849,-0.617461,0.000685709
126,0.5,99,0.01,0.00275004,1,100,0.001,0.01,-0.0588013,0.000685709
127,0.474648,79,82.012,0.258566,1,53.1564,81.5235,76.6552,-0.6216,0.000685709
128,0.485924,48,16.7178,0.372731,0,47.1726,40.8612,73.197,-0.617564,0.000685709
129,0.5,99,0.01,0.0001,1,100,0.001,0.01,-0.0952983,0.000685709
130,0.475299,50,16.6684,0.247244,0,48.0441,81.6012,74.2218,-0.572597,0.000685709
131,0.5,99,0.01,0.00203686,1,100,0.001,0.01,-0.223196,0.000685709
132,0.422436,88,0.0260364,0.000368702,1,87.4115,60.4137,97.1733,-0.0662459,0.000685709
133,0.462665,11,68.2916,0.431477,1,38.5849,64.5882,74.8334,-0.593815,0.000685709
134,0.5,99,0.0704436,0.000167814,1,100,100,100,-0.0994158,0.000685709
135,0.438686,92,0.078157,0.000358088,1,87.59,100,42.7208,-0.0498349,0.000685709
136,0.480749,30,61.979,0.410657,1,52.1438,80.7105,73.7016,-0.592708,0.000685709
137,0.495303,60,73.702,0.396117,1,54.2434,85.6832,63.942,-0.582199,0.000685709
138,0.484051,49,32.7239,0.37123,0,76.8418,49.1884,75.8921,-0.63927,0.000685709
139,0.499972,64,44.3363,0.467681,1,75.4821,47.7884,80.0294,-0.577647,0.000685709
140,0.5,90,0.0376812,0.00064345,1,88.07,36.9958,45.2861,-0.0526191,0.000685709
141,0.243119,52,49.4692,0.223805,0,13.8548,97.3753,85.9612,-0.56041,0.000685709
142,0.104766,56,48.375,0.413928,0,77.8456,49.9441,75.0628,-0.574061,0.000685709
143,0.383803,70,93.7252,0.397186,1,82.2887,90.6686,71.121,-0.640941,0.000685709
144,0.405538,74,84.5727,0.411303,1,81.3277,73.7729,73.7211,-0.547436,0.000685709
145,0.00376269,64,67.3473,0.18753,0,77.655,48.5803,68.7407,-0.579806,0.000685709
146,0.00763363,55,74.7258,0.289184,0,53.2647,51.9801,66.2723,-0.598908,0.000685709
147,0.420214,87,0.0151764,0.000522746,1,87.5422,9.23946,48.5226,-0.131079,0.000685709
148,0.458732,87,0.0673529,0.000644797,1,87.8992,100,47.2461,-0.164568,0.000685709
149,0.431853,88,0.0993741,0.000340629,1,87.5533,58.4209,0.01,-0.0933033,0.000685709
150,0.0442351,37,65.413,0.00581658,1,77.6504,54.1608,47.1676,-0.648681,0.000685709
151,0.047162,44,86.319,0.190588,0,73.489,42.2478,54.7716,-0.639355,0.000685709
152,0.447036,99,56.2535,0.40698,1,78.521,43.3491,72.9243,-0.566968,0.000685709
153,0.485769,77,51.2957,0.4159,1,77.1365,43.1306,71.6305,-0.549471,0.000685709
154,0.426009,45,94.0278,0.000241768,1,90.0602,49.1738,53.405,-0.573022,0.000685709
155,0.495645,26,81.6548,0.0001,1,99.3371,75.2678,53.0795,-0.617634,0.000685709
156,0.458556,99,0.171899,0.00119864,1,87.3029,57.5958,61.1716,-0.100371,0.000685709
157,0.5,26,87.6422,0.0001,1,86.2373,66.5913,59.4091,-0.584754,0.000685709
