env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
146,0.0433295,99,66.2987,0.155545,1,37.0346,-1.02701,-0.414288
147,0.0477599,95,90.892,0.0799401,1,46.9613,-1.04299,-0.414288
148,0.0852144,97,72.0869,0.279214,1,47.2462,-1.04774,-0.414288
149,0.065365,99,61.9614,0.5,1,100,-1.053,-0.414288
150,0.0812959,97,50.6407,0.35351,1,99.9939,-1.03641,-0.414288
151,0.0369839,99,35.7655,0.140127,1,89.2019,-1.04166,-0.414288
152,0.0210405,92,8.15009,0.215384,0,96.0867,-1.05439,-0.414288
153,0.0120933,99,24.3654,0.304174,1,100,-1.04484,-0.414288
154,0.0225159,97,27.403,0.223681,1,95.7456,-1.02861,-0.414288
155,0.0553911,99,60.6239,0.226775,0,100,-1.02446,-0.414288
156,0.0174131,1,100,0.5,1,3.52687,-1.06767,-0.414288
157,0.472594,99,100,0.5,1,0.01,-1.06545,-0.414288
158,0.5,4,63.4673,0.0165224,1,3.14141,-1.04253,-0.414288
159,0.5,1,100,0.27208,1,0.01,-1.06187,-0.414288
160,0.499595,13,0.0458711,0.000255494,0,0.268153,-0.645775,-0.414288
161,0.348591,1,73.4668,0.200016,0,1.55223,-1.02004,-0.414288
162,0.0001,98,100,0.5,0,0.758411,-1.03646,-0.414288
163,0.0001,66,100,0.329546,0,0.01,-1.04148,-0.414288
164,0.0149638,45,1.46446,0.179511,0,97.8432,-1.04952,-0.414288
165,0.498786,13,0.0440955,0.000293237,0,0.0815052,-0.915892,-0.414288
166,0.0001,79,100,0.31669,0,0.01,-1.05588,-0.414288
167,0.0001,99,43.3993,0.171963,0,0.01,-1.01788,-0.414288
168,0.5,12,100,0.5,0,0.01,-1.0266,-0.414288
169,0.396034,1,26.0267,0.5,1,0.01,-1.0755,-0.414288
170,0.499667,13,0.0991903,0.000922597,0,0.220572,-0.76937,-0.414288
171,0.302289,1,84.4662,0.5,0,1.10705,-1.0132,-0.414288
172,0.029614,1,53.1258,0.5,1,22.853,-1.03457,-0.414288
173,0.0001,1,0.01,0.349526,1,0.194312,-1.0239,-0.414288
174,0.0156231,1,0.01,0.5,1,0.881011,-0.980161,-0.414288
175,0.00339892,1,38.6397,0.5,1,0.674735,-1.04078,-0.414288
176,0.00589247,1,31.8969,0.264994,1,0.01,-1.06914,-0.414288
177,0.0001,1,100,0.0001,0,0.01,-1.04467,-0.414288
